bed,bath,acre_lot,city,house_size,price
3.0,4.0,0.34,Falmouth,2914.0,1095000.0
6.0,3.0,0.16,Stratford,3534.0,495000.0
4.0,3.0,0.93,Seymour,2034.0,350000.0
4.0,4.0,0.47,Middleton,3840.0,959900.0
5.0,3.0,3.27,Cumberland,2552.0,575000.0
3.0,2.0,0.31,Brockton,1270.0,459900.0
4.0,3.0,5.0,Springfield,4039.0,425000.0
3.0,2.0,0.07,Providence,946.0,279000.0
3.0,2.0,0.14,Waterbury,1540.0,160000.0
3.0,3.0,0.36,Centerville,2136.0,549900.0
3.0,2.0,0.16,Meriden,973.0,194900.0
3.0,2.0,0.25,Ansonia,1128.0,310000.0
3.0,2.0,0.11,Bridgeport,1320.0,337000.0
3.0,2.0,0.44,Plainfield,1248.0,269900.0
2.0,1.0,0.58,East Hartford,1092.0,195000.0
4.0,3.0,1.0,Monroe,2414.0,250000.0
3.0,3.0,1.52,Litchfield,2100.0,499000.0
5.0,2.0,0.64,Trumbull,1732.0,375000.0
4.0,3.0,1.4,Mansfield,1656.0,319900.0
3.0,3.0,1.97,Woodbridge,2100.0,525000.0
3.0,3.0,3.0,Canterbury,1964.0,375000.0
3.0,1.0,0.23,Windham,950.0,179000.0
4.0,2.0,0.11,Wareham,1820.0,439000.0
2.0,2.0,1.2,Mont Vernon,1608.0,300000.0
14.0,15.0,2.4,Great Barrington,10302.0,1390000.0
4.0,4.0,1.01,Ridgefield,3535.0,1025000.0
3.0,2.0,0.58,Southington,1288.0,349900.0
3.0,3.0,0.72,Orange,1820.0,550000.0
3.0,3.0,1.07,North Attleboro,1562.0,599900.0
3.0,1.0,0.1,Pawtucket,992.0,315000.0
3.0,3.0,0.52,Roxbury,1834.0,595000.0
3.0,2.0,0.12,Danbury,1200.0,349999.0
2.0,1.0,0.34,Coventry,1056.0,199900.0
3.0,4.0,0.14,East Providence,1800.0,489900.0
2.0,1.0,0.11,Barre,936.0,135000.0
3.0,2.0,0.2,Fitchburg,960.0,209900.0
3.0,2.0,0.65,Farmington,1200.0,329000.0
5.0,5.0,0.23,Barnstable,2605.0,2295000.0
3.0,1.0,0.26,Newington,1092.0,249900.0
3.0,2.0,0.36,Norwalk,1433.0,524900.0
5.0,5.0,0.87,Atkinson,5460.0,1595000.0
3.0,2.0,0.56,Watertown,1596.0,325000.0
3.0,1.0,0.27,Bath,940.0,79900.0
4.0,2.0,0.21,Melrose,1186.0,649900.0
4.0,2.0,1.0,Old Saybrook,1056.0,649000.0
3.0,3.0,19.23,Southampton,2268.0,285000.0
3.0,2.0,0.48,East Granby,1470.0,279900.0
4.0,4.0,0.93,Orange,3712.0,829900.0
4.0,2.0,1.65,Glocester,1700.0,424900.0
3.0,2.0,0.26,Stratford,1445.0,399000.0
3.0,1.0,1.15,Raymond,1775.0,149900.0
5.0,7.0,13.0,Washington,5875.0,1995000.0
4.0,2.0,0.24,Bridgeport,1695.0,399900.0
4.0,3.0,0.24,Barrington,2166.0,785000.0
4.0,5.0,1.04,Orleans,3700.0,2975000.0
4.0,4.0,1.16,Lincoln,4515.0,1390000.0
5.0,5.0,3.3,Weston,3118.0,1199000.0
2.0,1.0,1.0,Bethel,882.0,259000.0
4.0,2.0,0.32,Branford,1547.0,389000.0
2.0,1.0,0.4,Cranston,884.0,334900.0
3.0,1.0,0.03,Bridgeport,1152.0,229900.0
2.0,1.0,0.02,Boston,968.0,700000.0
2.0,2.0,0.13,Ansonia,804.0,248000.0
3.0,3.0,1.17,Oxford,2037.0,465000.0
4.0,7.0,40.16,Dover,3602.0,3900000.0
3.0,2.0,0.37,Torrington,1116.0,249900.0
3.0,4.0,0.11,Waterbury,1960.0,249900.0
3.0,3.0,1.08,Prospect,2800.0,489975.0
5.0,5.0,0.8,Raynham,4000.0,899000.0
4.0,6.0,10.11,North Stonington,3953.0,1000000.0
2.0,2.0,0.18,Hamden,1230.0,190000.0
4.0,3.0,0.42,Falmouth,3262.0,1350000.0
5.0,2.0,0.6,Westfield,2700.0,375000.0
3.0,1.0,0.19,East Hartford,1058.0,199000.0
3.0,3.0,0.86,East Hampton,1488.0,349900.0
3.0,3.0,3.81,North Canaan,1601.0,425000.0
3.0,1.0,0.17,New Britain,884.0,209900.0
3.0,5.0,0.34,South Chatham,4180.0,2350000.0
3.0,2.0,0.11,Milford,1257.0,465000.0
3.0,3.0,0.14,West Brookfield,2600.0,799900.0
6.0,2.0,0.75,Groton,2314.0,244900.0
3.0,1.0,0.27,Fairfield,1321.0,375000.0
4.0,3.0,0.78,Vernon,2102.0,399900.0
7.0,4.0,0.49,Bangor,3436.0,399999.0
3.0,3.0,0.34,Exeter,2147.0,799900.0
5.0,7.0,2.1,Greenwich,5686.0,2227500.0
5.0,6.0,2.01,Weston,3854.0,1398000.0
3.0,1.0,0.28,Groton,936.0,289000.0
3.0,1.0,0.11,Bridgeport,1206.0,285000.0
2.0,2.0,1.0,Medford,1168.0,599000.0
2.0,1.0,0.02,Boston,1036.0,449900.0
4.0,2.0,0.3,Vineyard Haven,1808.0,1160000.0
3.0,2.0,3.9,Duxbury,2000.0,630000.0
6.0,5.0,0.21,Swampscott,6055.0,2125000.0
4.0,4.0,2.0,Simsbury,3723.0,799000.0
4.0,2.0,0.09,Pawtucket,1237.0,265000.0
4.0,2.0,0.11,Providence,2990.0,359900.0
1.0,1.0,0.16,Montville,464.0,144500.0
5.0,6.0,1.03,Stamford,5896.0,2199000.0
3.0,2.0,1.85,Southbury,1209.0,399900.0
6.0,3.0,0.07,Salem,2575.0,689000.0
6.0,8.0,0.69,Greenwich,7020.0,6500000.0
2.0,2.0,0.16,New Britain,1152.0,192000.0
3.0,1.0,0.14,Seekonk,1456.0,374900.0
4.0,3.0,0.3,Carver,3436.0,599900.0
2.0,1.0,1.02,Enfield,1212.0,189900.0
6.0,2.0,0.16,Fairfield,1920.0,550000.0
2.0,2.0,0.1,Worcester,1330.0,279900.0
3.0,3.0,0.24,Meriden,1320.0,290000.0
7.0,4.0,0.08,New London,2024.0,199900.0
3.0,2.0,0.64,Wilbraham,1826.0,350000.0
4.0,3.0,0.71,Glastonbury,2364.0,520000.0
6.0,2.0,0.24,Enfield,2296.0,195000.0
3.0,2.0,3.2,Gray,1582.0,375000.0
9.0,3.0,0.06,Central Falls,5060.0,480000.0
3.0,2.0,0.11,Hamden,1246.0,264900.0
4.0,4.0,4.19,Stafford,2166.0,285000.0
5.0,5.0,4.71,Woodstock,5551.0,1000000.0
4.0,1.0,0.23,Tewksbury,1205.0,509900.0
4.0,3.0,0.5,North Haven,2044.0,425000.0
2.0,2.0,0.47,Hyannis,1295.0,427000.0
2.0,2.0,0.31,Danbury,1168.0,289000.0
4.0,2.0,10.19,Wilmington,2446.0,735000.0
4.0,5.0,2.9,Middlebury,4295.0,1125000.0
6.0,4.0,0.49,Darien,3716.0,1999900.0
3.0,2.0,0.28,Norwich,1919.0,259900.0
4.0,4.0,2.98,Easton,4483.0,969000.0
4.0,2.0,0.2,New Britain,1229.0,219900.0
3.0,3.0,1.48,Montville,2044.0,349000.0
3.0,3.0,0.38,West Wareham,1972.0,799900.0
4.0,3.0,13.8,Killingworth,2589.0,829900.0
